dataset,generator,alpha,n_r,n_s,method,variant,t,repeats_ok,build_ms,count_ms,enum_ms,sample_ms,run_total_ms_from_phases,wall_ms,build_pct,count_pct,enum_pct,sample_pct
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,range_tree,adaptive,100000,3,90.382756,1123.204498,513.00759,836.405289,2563.3443230000003,2563.36,3.5259701628465145,43.81793299955356,20.01321419822381,32.62945525871125
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,rejection,adaptive,100000,3,296.187242,18.760541,14.066356,377.847241,714.173672,714.226,41.47271925756456,2.626887791517467,1.9695987896904719,52.90691267599682
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,sirs,adaptive,100000,3,121.539506,2773.361582,10.362301,40.943524,2943.192303,2943.21,4.1295129059733755,94.22971034455033,0.3520769264528754,1.391126361613076
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,tlsop,adaptive,100000,3,394.191881,585.206353,140.30194699999998,593.863539,1714.322154,1714.34,22.99403761890602,34.13631163982496,8.184106276211606,34.64130342213381
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,tsunami,adaptive,100000,3,85.918816,5325.28114,15.510128,69.35692,5496.051934,5496.07,1.5632824622431964,96.89284606385236,0.2822049024691767,1.2619407682620345
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,aabb,sampling,100000,3,35.430774,756.286742,0.0,489.454282,1278.517141,1278.52,2.7712396544239994,59.15342999691546,0.0,38.28296596924546
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,interval_tree,sampling,100000,3,136.902675,396.241486,0.0,283.481233,816.940378,851.747,16.757976308523215,48.50310948885428,0.0,34.700357655721106
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,kd_tree,sampling,100000,3,94.57516,229.223211,0.0,128.1971,452.315275,452.318,20.909123619581496,50.67775148650463,0.0,28.342421113237886
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,ours,sampling,100000,3,102.44213,222.140113,0.0,152.040389,476.701639,521.112,21.489779270509285,46.599401979400376,0.0,31.894245070971948
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,pbsm,sampling,100000,3,22.705131,69.652974,0.0,79.744459,172.068995,172.071,13.195364452497675,40.47967735268053,0.0,46.34446722955522
