dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,4,100000,100000,ours,adaptive,100000,3,1,363.766,29.4352,380.517,380.955,800000,0,1,
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,4,100000,100000,aabb,sampling,100000,3,1,870.112,0.918203,869.686,871.018,800000,0,1,
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,4,100000,100000,aabb,adaptive,100000,3,1,744.702,8.67192,740.323,753.254,800000,0,1,
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,4,100000,100000,interval_tree,sampling,100000,3,1,817.575,21.8403,829.251,830.91,800000,0,1,
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,4,100000,100000,interval_tree,adaptive,100000,3,1,707.511,0.859741,707.938,708.06,800000,0,1,
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,4,100000,100000,kd_tree,sampling,100000,3,1,390.929,1.88755,390.171,392.787,800000,0,1,
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,4,100000,100000,kd_tree,adaptive,100000,3,1,497.945,4.15161,495.639,502.028,800000,0,1,
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,4,100000,100000,r_tree,sampling,100000,3,1,638.813,0.963897,638.616,639.735,800000,0,1,
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,4,100000,100000,r_tree,adaptive,100000,3,1,439.885,0.535225,439.747,440.403,800000,0,1,
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,4,100000,100000,range_tree,sampling,100000,3,1,1896.27,2.63265,1895.54,1898.83,800000,0,1,
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,4,100000,100000,range_tree,adaptive,100000,3,1,1323.53,5.10014,1325.29,1327.29,800000,0,1,
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,4,100000,100000,pbsm,sampling,100000,3,1,53.693,0.488381,53.695,54.1319,800000,0,1,
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,4,100000,100000,pbsm,adaptive,100000,3,1,35.8658,0.0652751,35.8774,35.9198,800000,0,1,
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,4,100000,100000,tlsop,sampling,100000,3,1,1475.25,1.36333,1475.6,1476.33,800000,0,1,
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,4,100000,100000,tlsop,adaptive,100000,3,1,934.681,1.08231,934.765,935.623,800000,0,1,
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,4,100000,100000,sirs,sampling,100000,3,1,2880.11,1.72113,2879.14,2881.8,800000,0,1,
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,4,100000,100000,sirs,adaptive,100000,3,1,3478.26,2.09809,3477.21,3480.33,800000,0,1,
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,4,100000,100000,rejection,sampling,100000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,4,100000,100000,rejection,adaptive,100000,3,1,1602.06,13.8685,1609.74,1610.32,800000,0,1,
stripe_alpha__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,ours,sampling,100000,3,1,496.101,28.4609,512.505,512.555,1e+06,0,1,
stripe_alpha__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,ours,adaptive,100000,3,1,366.165,29.7817,382.547,383.998,1e+06,0,1,
stripe_alpha__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,aabb,sampling,100000,3,1,1270.08,1.53236,1269.68,1271.56,1e+06,0,1,
