dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,interval_tree,adaptive,300000,3,1,1383.37,24.9583,1394.73,1400.04,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,kd_tree,sampling,300000,3,1,927.783,1.59993,927.681,929.256,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,kd_tree,adaptive,300000,3,1,1238.65,3.22077,1236.99,1241.83,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,r_tree,sampling,300000,3,1,706.027,3.71669,706.478,709.196,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,r_tree,adaptive,300000,3,1,794.875,1.16668,795.489,795.595,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,range_tree,sampling,300000,3,1,2174.54,0.809293,2174.41,2175.3,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,range_tree,adaptive,300000,3,1,2532.39,2.05595,2533.29,2533.79,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,pbsm,sampling,300000,3,1,1683.18,19.9128,1684.89,1700.45,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,pbsm,adaptive,300000,3,1,1731.41,14.4139,1723.9,1745.62,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,tlsop,sampling,300000,3,1,644.386,1.64622,645.265,645.392,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,tlsop,adaptive,300000,3,1,665.263,1.13833,665.11,666.335,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,sirs,sampling,300000,3,1,1850.02,10.7514,1844.21,1860.61,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,sirs,adaptive,300000,3,1,1904.15,0.495148,1904.11,1904.61,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,rejection,sampling,300000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,rejection,adaptive,300000,3,1,365.411,5.09365,365.972,369.778,2.15307e+07,246788,0,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,ours,sampling,1000000,3,1,680.382,30.169,695.359,699.655,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,ours,adaptive,1000000,3,1,724.734,43.4366,748.184,751.083,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,aabb,sampling,1000000,3,1,1544.35,0.480023,1544.09,1544.82,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,aabb,adaptive,1000000,3,1,1646.72,0.550217,1646.52,1647.26,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,interval_tree,sampling,1000000,3,1,1345.8,34.891,1363.18,1368.04,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,interval_tree,adaptive,1000000,3,1,1527.49,25.6145,1542.27,1542.28,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,kd_tree,sampling,1000000,3,1,1193.4,0.383529,1193.3,1193.77,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,kd_tree,adaptive,1000000,3,1,1506.56,1.94559,1506.46,1508.34,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,r_tree,sampling,1000000,3,1,801.482,1.94007,802.175,802.899,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,r_tree,adaptive,1000000,3,1,890.963,2.61122,890.75,893.381,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,range_tree,sampling,1000000,3,1,2383.57,3.63285,2381.65,2387.15,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,range_tree,adaptive,1000000,3,1,2741.13,2.59971,2741.46,2743.35,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,pbsm,sampling,1000000,3,1,1809.81,28.9264,1825.92,1826.98,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,pbsm,adaptive,1000000,3,1,1871.98,1.25327,1871.57,1873.21,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,tlsop,sampling,1000000,3,1,719.775,1.39737,720.354,720.746,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,tlsop,adaptive,1000000,3,1,743.974,0.443305,743.809,744.409,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,sirs,sampling,1000000,3,1,2023.05,0.352384,2023.17,2023.31,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,sirs,adaptive,1000000,3,1,2059.8,1.06006,2059.92,2060.7,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,rejection,sampling,1000000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,rejection,adaptive,1000000,3,1,718.596,9.94727,719.788,727.083,2.15307e+07,246788,0,
