run_id,regime,alpha,t,repeats,seed,gen_seed,N,method,variant,exit_code,rss_kb,enum_truncated_any,run_csv
20251228_165406,alpha100,100,100000,5,1,1,50000,tlsop,adaptive,0,41080,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N50000/tlsop/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,50000,sirs,sampling,0,15204,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N50000/sirs/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,50000,sirs,enum_sampling,0,14228,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N50000/sirs/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,50000,sirs,adaptive,0,38392,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N50000/sirs/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,50000,rejection,sampling,0,56840,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N50000/rejection/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,50000,rejection,enum_sampling,0,58060,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N50000/rejection/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,50000,rejection,adaptive,0,83160,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N50000/rejection/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,50000,tsunami,sampling,0,21720,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N50000/tsunami/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,50000,tsunami,enum_sampling,0,21308,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N50000/tsunami/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,50000,tsunami,adaptive,0,43196,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N50000/tsunami/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,ours,sampling,0,198624,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/ours/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,ours,enum_sampling,0,188116,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/ours/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,ours,adaptive,0,213740,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/ours/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,aabb,sampling,0,60716,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/aabb/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,aabb,enum_sampling,0,65320,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/aabb/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,aabb,adaptive,0,104052,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/aabb/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,interval_tree,sampling,0,304816,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/interval_tree/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,interval_tree,enum_sampling,0,292968,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/interval_tree/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,interval_tree,adaptive,0,571228,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/interval_tree/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,kd_tree,sampling,0,54108,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/kd_tree/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,100000,kd_tree,enum_sampling,0,58580,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/kd_tree/enum_sampling/run.csv
