dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,range_tree,adaptive,100000,3,1,2562.19,3.39018,2563.36,2564.69,6e+06,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,pbsm,sampling,100000,3,1,172.172,0.264036,172.071,172.432,6e+06,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,pbsm,adaptive,100000,3,1,188.9,2.10779,187.69,190.969,6e+06,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,tlsop,sampling,100000,3,1,1576.17,2.63596,1575.75,1578.67,6e+06,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,tlsop,adaptive,100000,3,1,1716.6,6.74611,1714.34,1723.2,6e+06,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,sirs,sampling,100000,3,1,2924.43,2.72991,2925.69,2926.24,6e+06,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,sirs,adaptive,100000,3,1,2944.14,2.63587,2943.21,2946.72,6e+06,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,rejection,sampling,100000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,rejection,adaptive,100000,3,1,719.833,9.75019,714.226,729.405,5.88134e+06,45957.3,0,
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,tsunami,sampling,100000,3,1,5532.88,4.20141,5534.69,5535.75,6e+06,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,tsunami,adaptive,100000,3,1,5496.69,3.14372,5496.07,5499.69,6e+06,0,1,
